train_register,test_register,features,auc,acc,prec,rec,f1
news,social,punct_entropy,0.5567095028,0.54495,0.5585301700565118,0.42894,0.48523173339064923
news,creative,punct_entropy,0.5212454796,0.51065,0.5119450862513739,0.45644,0.48260184607576734
social,academic,punct_entropy,0.5600615713772024,0.552782681727028,0.1702277878934265,0.5490830636461704,0.2598854030748284
social,news,punct_entropy,0.5111664011999999,0.51206,0.5121641249092229,0.50778,0.5099626400996264
social,social,punct_entropy,0.9031532691999998,0.81021,0.8253245799861568,0.78698,0.805696325644727
social,creative,punct_entropy,0.54077309,0.52478,0.5244012919489522,0.53254,0.5284393109470509
creative,academic,punct_entropy,0.6204569771065565,0.5513772003496563,0.2003294006924137,0.7143713292580607,0.3129101695805114
creative,news,punct_entropy,0.48428620799999994,0.49166,0.4915720118032257,0.48644,0.4889925410643559
creative,social,punct_entropy,0.5316526525999999,0.51708,0.5148842721695482,0.59084,0.5502533154522425
creative,creative,punct_entropy,0.961533977,0.90442,0.8776661312614397,0.93984,0.9076896331923278
